nome;endereco;bairro;preco;area;quartos;banheiros;vagas;status;link
Stillo Barra Residencial;Via Projetada 2;Barra da Tijuca;R$ 380.000,00;47 a 75 m²;2 e 3 quartos;2 banheiros;1 vaga;Pronto para morar;https://apto.vc/br/rj/rio-de-janeiro/barra-da-tijuca/stillo-barra-residencial
Estação Botafogo;R. São Clemente;Botafogo;R$ 1.196.620,00;62 m²;2 quartos;2 banheiros;2 vagas;Lançamento;https://apto.vc/br/rj/rio-de-janeiro/botafogo/estacao-botafogo
In the Park - Cidade Jardim;Av. Vice Presidente José Alencar;Barra Olímpica;Sob Consulta;32 a 65 m²;studio a 3 quartos;1 banheiro;sem vagas;Lançamento;https://apto.vc/br/rj/rio-de-janeiro/barra-olimpica/in-the-park-cidade-jardim
Parque Brito II;Estrada Cachamorra;Campo Grande;R$ 200.000,00;40 m²;1 e 2 quartos;1 banheiro;1 vaga;Pronto para morar;https://apto.vc/br/rj/rio-de-janeiro/campo-grande/parque-brito-ii
Flores do Brito;Estrada do Campinho;Campo Grande;R$ 182.995,89;44 e 48 m²;2 quartos;1 banheiro;1 vaga;Pronto para morar;https://apto.vc/br/rj/rio-de-janeiro/campo-grande/flores-do-brito
Jardim Peônia;Estrada de Santa Eugênia;Santa Cruz;R$ 190.842,00;40 m²;2 quartos;1 banheiro;até 1 vaga;Em construção;https://apto.vc/br/rj/rio-de-janeiro/santa-cruz/jardim-peonia
Vic Park Versalhes;Estrada da Pedra;Santa Cruz;R$ 197.486,80;44 m²;2 quartos;1 banheiro;1 vaga;Em construção;https://apto.vc/br/rj/rio-de-janeiro/santa-cruz/vic-park-versalhes
Vitale Árbore Residencial;R. Godofredo Marques;Jacarepaguá;R$ 373.000,00;29 a 53 m²;1 e 2 quartos;1 banheiro;até 1 vaga;Em construção;https://apto.vc/br/rj/rio-de-janeiro/jacarepagua/vitale-arbore-residencial
Porto Valência;Avenida Canal Projetada;Campo Grande;R$ 204.600,00;40 m²;2 quartos;1 banheiro;até 1 vaga;Em construção;https://apto.vc/br/rj/rio-de-janeiro/campo-grande/porto-valencia
Reserva Carioca;Avenida Cesário de Melo;Inhoaíba;R$ 205.132,00;40 m²;2 quartos;1 banheiro;até 1 vaga;Em construção;https://apto.vc/br/rj/rio-de-janeiro/inhoaiba/reserva-carioca
Urban Zona Norte;Estrada da Água Grande;Irajá;R$ 206.940,23;32 e 42 m²;1 e 2 quartos;1 banheiro;até 1 vaga;Pronto para morar;https://apto.vc/br/rj/rio-de-janeiro/iraja/urban-zona-norte
Residencial Reserva Naturalis;Av. Cesário de Melo;Paciência;R$ 206.960,00;42 m²;2 quartos;1 banheiro;sem vagas;Em construção;https://apto.vc/br/rj/rio-de-janeiro/paciencia/residencial-reserva-naturalis
